,Activity_Regex,Age_Regex,Sex_Regex,Species_Regex,Fatal_Regex
4968,swimming,24,m,Tiger shark,y
4977,swimming,24,m,Mako shark,n
4987,fishing,32,m,"250-lb ""dog shark""",n
5000,collecting fish by lamplight in gully,23,m,Raggedtooth shark,n
5001,diving for trochus from lugger,45,m,4 m [13'] shark,n
5004,swimming,20,f,Hammerhead shark,n
5027,swimming,18,m,1.5 m [5'] shark,n
5041,swimming,21,m,Tiger shark,n
5049,diving off pier & treading water,18,m,White shark,y
5052,swimming,23,m,White shark,n
5056,diving by wharf,16,m,Tiger shark,y
5058,surfing,17,f,"""a small shark""",n
5074,standing,19,m,Nurse shark,n
5079,launching rowboat through the surf,9,m,"""a dog shark""",n
5080,launching rowboat through the surf,12,m,"""a dog shark""",n
5083,swimming,39,m,galapagos shark,y
5086,surfing,14,m,12' shark,y
5098,swimming,17,m,morenos leg  & part of his swim suit found in 9' shark caught two hours after the attack. identified as carcharhinid shark by l. schultz & c. limbaugh on photograph,y
5108,bathing,15,m,4' shark,n
5118,surfing,18,m,1.2 m [4'] shark,n
5120,swimming,17,m,White shark,y
5130,surfing,17,m,Nurse shark,n
5133,fishing,70,m,Mako shark,n
5136,swimming,15,m,3.7 m [12'] shark,y
5142,bathing,17,m,Nurse shark,n
5146,swimming,20,m,White shark,y
5148,swimming,15,m,White shark,n
5160,floating on his back,55,m,Tiger shark,y
5168,bathing,16,m,said to be a small shark,n
5192,swimming,16,m,3 m [10'] shark,y
5216,bathing,19,m,"2.7 m [9'] ""blue"" shark",y
5223,floating,18,f,1.8 m [6'] shark,y
5224,swimming,19,m,6' shark,y
5225,swimming,18,m,White shark,n
5228,standing,14,f,2.7 m [9'] shark later captured by mitchell-hedges,y
5229,bathing,21,m,White shark,y
5231,swimming,18,m,White shark,y
5273,wading,13,m,12' shark,y
5304,swimming,12,m,said to involve a 2.7 m [9'] shark,n
5305,swimming,24,m,3 m [10'] shark,y
5311,swimming,24,m,White shark,y
5375,swimming,21,m,"2.8 m [9'3""] whaler shark captured 3 days later with his remains in its gut",y
5484,washing horses,30,m,1.8 m to 2.7 m [6' to 9'] shark,y
5498,bathing,40,m,5' shark,n
5544,swimming,,m,2 m shark,y
5545,swimming,29,m,White shark,y
5571,swimming,15,m,3 m [10'] shark,y
5598,fishing,15,m,White shark,n
5648,bathing,19,m,10' to 12' shark,n
5684,fishing,21,m,12' shark,n
5814,swimming,12,m,Bull shark,y
5829,swimming,23,m,3 sharks,y
5838,swimming,22,m,15' shark,y
5922,standing,35,m,identified as c. gangeticus by dr. j. fayrer,y
6200,shark tagging,21,f,Blacktip shark,n
6226,skin diving. grabbed shark's tail; shark turned & grabbed diver's ankle & began towing him to deep water,19,m,Nurse shark,n
6238,spearfishing,27,m,1.8 m [6'] shark,n
6239,skindiving,36,m,"""a pack of sharks""",n
6242,swimming,6,m,Bull shark,n
6243,swimming,16,m,Bull shark,n
6265,swimming,13,m,Bull shark,y
6276,standing,16,m,Tiger shark,y
